,City,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
0,"Avarua, CK",75,74,-21.21,-159.78,84.2,8.05
1,"Yarada, IN",8,100,17.65,83.27,81.18,4.97
2,"Mahebourg, MU",40,88,-20.41,57.7,78.8,4.7
3,"Atuona, PF",80,99,-9.8,-139.03,82.17,19.51
4,"Cabo San Lucas, MX",5,64,22.89,-109.91,75.45,9.17
5,"Kabinda, CD",80,94,-6.14,24.49,67.05,2.84
6,"Mahmudabad, IN",0,76,27.3,81.13,55.4,4.41
7,"Inta, RU",48,63,66.04,60.13,-8.29,2.73
8,"Hay River, CA",40,51,60.82,-115.79,35.6,11.41
9,"Lewisporte, CA",90,86,49.25,-55.06,28.4,26.4
10,"Bichena, ET",8,86,10.45,38.2,50.58,1.72
11,"Falun, SE",48,73,60.61,15.63,32.0,16.11
12,"Hithadhoo, MV",92,98,-0.6,73.08,85.23,9.78
13,"Chokurdakh, RU",8,62,70.62,147.9,-20.8,4.18
14,"Kapaa, US",90,94,22.08,-159.32,73.56,20.8
15,"Bandundu, CD",92,100,-3.32,17.38,70.02,7.43
16,"Bambous Virieux, MU",40,88,-20.34,57.76,78.8,4.7
17,"Carnarvon, AU",0,57,-24.87,113.63,89.82,10.0
18,"Novomalorossiyskaya, RU",68,78,45.63,39.89,47.79,17.49
19,"Rancho Palos Verdes, US",90,62,33.75,-118.37,57.85,11.41
20,"Saldanha, ZA",0,82,-33.01,17.94,60.8,11.41
21,"Port Hardy, CA",20,76,50.7,-127.42,48.2,10.29
22,"Pilar, PH",0,54,17.42,120.6,86.31,3.74
23,"Santa Fe, CU",20,78,23.13,-82.26,73.4,3.36
24,"Bredasdorp, ZA",0,88,-34.53,20.04,66.2,3.36
25,"Bethel, US",90,97,60.79,-161.76,32.0,14.99
26,"Manado, ID",20,66,1.49,124.85,86.0,5.82
27,"Qaanaaq, GL",0,88,77.48,-69.36,-20.62,8.66
28,"Waingapu, ID",0,77,-9.65,120.26,86.04,4.18
29,"Hermanus, ZA",80,92,-34.42,19.24,59.22,2.73
30,"Rapar, IN",0,42,23.57,70.65,71.73,9.66
31,"Albany, AU",56,73,-35.02,117.88,68.58,4.63
32,"Geraldton, CA",20,30,49.72,-86.95,12.2,3.36
33,"Rikitea, PF",76,100,-23.12,-134.97,80.55,15.59
34,"Butaritari, KI",32,100,3.07,172.79,82.53,7.65
35,"Svetlogorsk, RU",0,65,53.14,59.15,5.0,11.18
36,"Lebu, CL",0,100,-37.62,-73.65,59.22,19.84
37,"Rovinj, HR",75,86,45.08,13.64,39.25,19.46
38,"Luganville, VU",64,98,-15.51,167.18,83.43,9.89
39,"Mago, RU",24,49,53.27,140.15,12.24,8.43
40,"Yuanping, CN",44,95,38.72,112.71,41.76,3.29
41,"Souillac, MU",40,88,-20.52,57.52,78.8,4.7
42,"Flinders, AU",0,19,-34.58,150.85,80.6,9.17
43,"Beloha, MG",20,86,-25.17,45.06,73.8,12.46
44,"Hasaki, JP",75,59,35.73,140.83,58.53,17.22
45,"Busselton, AU",0,95,-33.64,115.35,70.83,13.02
46,"Sao Joao da Barra, BR",8,100,-21.64,-41.05,79.56,13.02
47,"Port Alfred, ZA",0,92,-33.59,26.89,67.23,18.05
48,"Isangel, VU",64,100,-19.55,169.27,79.92,12.01
49,"Maiduguri, NG",0,38,11.84,13.15,66.42,5.41
50,"Omboue, GA",80,100,-1.57,9.26,82.35,6.76
51,"Hobart, AU",75,59,-42.88,147.33,62.6,24.16
52,"Bluff, NZ",44,75,-46.6,168.33,67.68,21.85
53,"North Myrtle Beach, US",1,76,33.83,-78.68,53.6,3.36
54,"Norman Wells, CA",90,92,65.28,-126.83,15.8,8.05
55,"Belaya Gora, RU",8,56,68.54,146.19,-19.09,3.74
56,"Tashtyp, RU",48,93,52.8,89.89,27.45,2.73
57,"Petropavlovsk-Kamchatskiy, RU",20,41,53.05,158.65,23.0,15.66
58,"Kirakira, SB",92,100,-10.46,161.92,79.56,3.85
59,"Sinnamary, GF",92,100,5.38,-52.96,77.31,8.55
60,"Jacareacanga, BR",64,94,-6.22,-57.76,75.6,1.16
61,"Duluth, US",90,86,46.77,-92.13,29.91,20.8
62,"Senador Jose Porfirio, BR",80,100,-2.59,-51.95,75.69,0.38
63,"Sorong, ID",20,100,-0.86,131.25,83.34,7.43
64,"Ushuaia, AR",75,93,-54.81,-68.31,35.6,20.8
65,"Ancud, CL",92,97,-41.87,-73.83,53.82,4.97
66,"Nakamura, JP",75,76,35.17,136.87,53.49,9.17
67,"Barrow, US",1,86,39.51,-90.4,42.26,5.3
68,"Carauari, BR",12,98,-4.88,-66.9,73.71,1.95
69,"Homer, US",90,70,59.64,-151.54,41.85,8.05
70,"Artyom, AZ",0,87,40.47,50.33,50.0,20.8
71,"Cape Town, ZA",20,88,-33.93,18.42,62.6,13.87
72,"Gizo, SB",12,100,-8.1,156.84,84.51,5.41
73,"Tomatlan, MX",24,67,19.93,-105.25,70.74,0.94
74,"Punta Arenas, CL",40,60,-53.16,-70.91,41.0,11.41
75,"Puerto Ayora, EC",68,100,-0.74,-90.35,78.03,2.84
76,"Faanui, PF",68,100,-16.48,-151.75,82.44,15.14
